BTC,EOS,ETH,day
11248.94,5.774,287.98,2019-07-06
11474.28,5.967,306.43,2019-07-07
12296.16,5.97,313.34,2019-07-08
12567.02,5.895,307.89,2019-07-09
12099.12,5.261,288.64,2019-07-10
11343.12,4.686,268.56,2019-07-11
11797.37,4.797,275.41,2019-07-12
11363.97,4.741,268.94,2019-07-13
10204.41,4.118,226.16,2019-07-14
10850.26,4.283,228.14,2019-07-15
9423.44,3.657,198.71,2019-07-16
9696.15,3.836,211.29,2019-07-17
10638.35,4.093,226.09,2019-07-18
10532.94,4.049,221.28,2019-07-19
10759.42,4.308,228.71,2019-07-20
10586.71,4.32,225.4,2019-07-21
10325.87,4.121,217.22,2019-07-22
9854.15,4.153,212.21,2019-07-23
9772.14,4.585,216.66,2019-07-24
9882.43,4.57,219.41,2019-07-25
9847.45,4.626,219.23,2019-07-26
9478.32,4.266,207.17,2019-07-27
9531.77,4.267,211.15,2019-07-28
9506.93,4.206,210.83,2019-07-29
9595.52,4.206,209.82,2019-07-30
10089.25,4.425,218.7,2019-07-31
10409.79,4.31,217.51,2019-08-01
10528.99,4.182,217.7,2019-08-02
10820.41,4.286,222.02,2019-08-03
10978.91,4.238,222.7,2019-08-04
11807.96,4.461,233.19,2019-08-05
11467.1,4.193,225.94,2019-08-06
11974.28,4.227,225.99,2019-08-07
11982.8,4.173,221.18,2019-08-08
11865.21,3.906,210.47,2019-08-09
11293.59,4.063,206.26,2019-08-10
11549.06,4.199,216.39,2019-08-11
11387.41,4.131,211.28,2019-08-12
10872.0,4.075,208.62,2019-08-13
10031.89,3.671,186.49,2019-08-14
10308.51,3.63,188.24,2019-08-15
10360.43,3.59,185.41,2019-08-16
10220.75,3.561,185.69,2019-08-17
10326.25,3.696,194.77,2019-08-18
10922.16,3.726,202.43,2019-08-19
10770.76,3.676,196.55,2019-08-20
10131.67,3.51,187.32,2019-08-21
10104.11,3.643,190.74,2019-08-22
10410.49,3.683,194.64,2019-08-23
10150.07,3.667,191.08,2019-08-24
10141.75,3.55,186.58,2019-08-25
10364.91,3.584,188.46,2019-08-26
10175.47,3.556,187.17,2019-08-27
9722.83,3.256,173.01,2019-08-28
9492.81,3.203,168.95,2019-08-29
9587.25,3.216,168.52,2019-08-30
9624.54,3.34,172.15,2019-08-31
9768.36,3.271,171.42,2019-09-01
10387.5,3.332,178.76,2019-09-02
10625.1,3.362,179.13,2019-09-03
10585.2,3.314,175.01,2019-09-04
10556.16,3.272,174.38,2019-09-05
10309.91,3.22,169.47,2019-09-06
10491.96,3.577,178.32,2019-09-07
10420.88,3.79,181.67,2019-09-08
10314.88,3.881,180.84,2019-09-09
10109.46,3.781,180.01,2019-09-10
10165.01,3.759,178.48,2019-09-11
10428.96,3.751,181.19,2019-09-12
10372.29,3.736,181.56,2019-09-13
10365.56,4.038,188.9,2019-09-14
10313.02,4.082,189.48,2019-09-15
10271.79,4.099,197.85,2019-09-16
10198.62,4.076,207.9,2019-09-17
10163.38,4.088,210.5,2019-09-18
10281.03,3.975,221.01,2019-09-19
10176.38,4.019,218.26,2019-09-20
9988.38,4.008,215.1,2019-09-21
10036.98,3.823,211.23,2019-09-22
9694.6,3.691,200.97,2019-09-23
8542.54,2.769,166.47,2019-09-24
8446.97,2.875,170.22,2019-09-25
8074.99,2.79,166.06,2019-09-26
8201.36,2.839,174.39,2019-09-27
8223.65,2.839,174.14,2019-09-28
8065.26,2.79,169.68,2019-09-29
8314.62,2.978,181.47,2019-09-30
8326.64,2.953,176.39,2019-10-01
8391.52,3.018,181.06,2019-10-02
8246.3,2.934,175.17,2019-10-03
8168.05,3.014,176.21,2019-10-04
8172.48,3.001,176.9,2019-10-05
